# sources/allowlist.tsv — GENERATED by `asterwell-build allowlist`; do not edit.
#
# Every code point the family promises, and where its outline comes from:
#   custom    an original Asterwell outline
#   literata  preserved from Literata; neither imported nor redrawn
#   dejavu    imported from DejaVu Sans, scaled to Literata's cap height
#
# Rules live in sources/allowlist.toml. Regenerate with `mise run allowlist`
# and commit the diff; `asterwell-build allowlist --check` fails if this file
# no longer matches the rules and the pinned fonts.
#
# generator 1
# Literata 3.103 — fonts/variable/Literata[opsz,wght].ttf
#     sha256 b41138c9373112f32abb589cc22e8674b06ed4048b0c513be922bdd26f274440
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# Literata 3.103 — fonts/variable/Literata-Italic[opsz,wght].ttf
#     sha256 d483dfaeba9cbf4ce71d32a52ee65df82f7e35b15fff8d1011cdb242d1fcd465
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# DejaVu Sans 2.37 — dejavu-fonts-ttf-2.37/ttf/DejaVuSans.ttf
#     sha256 7da195a74c55bef988d0d48f9508bd5d849425c1770dba5d7bfc6ce9ed848954
#     from   https://github.com/dejavu-fonts/dejavu-fonts/releases/download/version_2_37/dejavu-fonts-ttf-2.37.tar.bz2
#
# 532 rows: 8 custom, 24 literata, 500 dejavu
# 21 rows are emoji-presentation by default and need U+FE0E in text
# 0 imported code point(s) appear in Bitstream Vera Sans 1.10 (qa/vera-1.10-codepoints.txt); this must be 0
#
codepoint	char	unicode_name	block	source	glyph_name	group	emoji_presentation	note
U+25F3	◳	WHITE SQUARE WITH UPPER RIGHT QUADRANT	Geometric Shapes	dejavu	uni25F3	Geometric Shapes	no	
U+25F4	◴	WHITE CIRCLE WITH UPPER LEFT QUADRANT	Geometric Shapes	dejavu	uni25F4	Geometric Shapes	no	
U+25F5	◵	WHITE CIRCLE WITH LOWER LEFT QUADRANT	Geometric Shapes	dejavu	uni25F5	Geometric Shapes	no	
U+25F6	◶	WHITE CIRCLE WITH LOWER RIGHT QUADRANT	Geometric Shapes	dejavu	uni25F6	Geometric Shapes	no	
U+25F7	◷	WHITE CIRCLE WITH UPPER RIGHT QUADRANT	Geometric Shapes	dejavu	uni25F7	Geometric Shapes	no	
U+25F8	◸	UPPER LEFT TRIANGLE	Geometric Shapes	dejavu	uni25F8	Geometric Shapes	no	
U+25F9	◹	UPPER RIGHT TRIANGLE	Geometric Shapes	dejavu	uni25F9	Geometric Shapes	no	
U+25FA	◺	LOWER LEFT TRIANGLE	Geometric Shapes	dejavu	uni25FA	Geometric Shapes	no	
U+25FB	◻	WHITE MEDIUM SQUARE	Geometric Shapes	dejavu	uni25FB	Geometric Shapes	no	
U+25FC	◼	BLACK MEDIUM SQUARE	Geometric Shapes	dejavu	uni25FC	Geometric Shapes	no	
U+25FD	◽	WHITE MEDIUM SMALL SQUARE	Geometric Shapes	dejavu	uni25FD	Geometric Shapes	yes	
U+25FE	◾	BLACK MEDIUM SMALL SQUARE	Geometric Shapes	dejavu	uni25FE	Geometric Shapes	yes	
U+25FF	◿	LOWER RIGHT TRIANGLE	Geometric Shapes	dejavu	uni25FF	Geometric Shapes	no	
U+2600	☀	BLACK SUN WITH RAYS	Miscellaneous Symbols	dejavu	uni2600	Miscellaneous Symbols	no	
U+2601	☁	CLOUD	Miscellaneous Symbols	dejavu	uni2601	Miscellaneous Symbols	no	
U+2602	☂	UMBRELLA	Miscellaneous Symbols	dejavu	uni2602	Miscellaneous Symbols	no	
U+2603	☃	SNOWMAN	Miscellaneous Symbols	dejavu	uni2603	Miscellaneous Symbols	no	
U+2604	☄	COMET	Miscellaneous Symbols	dejavu	uni2604	Miscellaneous Symbols	no	
U+2605	★	BLACK STAR	Miscellaneous Symbols	dejavu	uni2605	Miscellaneous Symbols	no	
U+2606	☆	WHITE STAR	Miscellaneous Symbols	dejavu	uni2606	Miscellaneous Symbols	no	
U+2607	☇	LIGHTNING	Miscellaneous Symbols	dejavu	uni2607	Miscellaneous Symbols	no	
U+2608	☈	THUNDERSTORM	Miscellaneous Symbols	dejavu	uni2608	Miscellaneous Symbols	no	
U+2609	☉	SUN	Miscellaneous Symbols	dejavu	uni2609	Miscellaneous Symbols	no	
U+260A	☊	ASCENDING NODE	Miscellaneous Symbols	dejavu	uni260A	Miscellaneous Symbols	no	
U+260B	☋	DESCENDING NODE	Miscellaneous Symbols	dejavu	uni260B	Miscellaneous Symbols	no	
U+260C	☌	CONJUNCTION	Miscellaneous Symbols	dejavu	uni260C	Miscellaneous Symbols	no	
